Year,113 Cause Name,Cause Name,State,Deaths,Population,Death Rate,Age-adjusted Death Rate
2016,All Causes,All causes,AL,52466,4802982,0.010923630361305,920.4
2015,All Causes,All causes,AL,51909,4802982,0.010807660740765,924.5
2014,All Causes,All causes,AL,50215,4802982,0.010454963187453,909.1
2013,All Causes,All causes,AL,50189,4802982,0.010449549883801,925.2
2012,All Causes,All causes,AL,49301,4802982,0.010264664743695,926.7
2011,All Causes,All causes,AL,48681,4802982,0.010135578271999,933.6
2010,All Causes,All causes,AL,48038,4802982,0.010001703108611,939.7
2009,All Causes,All causes,AL,47470,4461130,0.010640801769955,940.2
2008,All Causes,All causes,AL,47707,4461130,0.010693927323346,959.7
2007,All Causes,All causes,AL,46696,4461130,0.010467303127235,957.2
2006,All Causes,All causes,AL,46977,4461130,0.010530291652563,979.5
2005,All Causes,All causes,AL,47090,4461130,0.010555621557767,1001.3
2004,All Causes,All causes,AL,46121,4461130,0.010338412016686,998.3
2003,All Causes,All causes,AL,46716,4461130,0.010471786296297,1020.2
2002,All Causes,All causes,AL,46069,4461130,0.010326755777124,1013.4
2001,All Causes,All causes,AL,45316,4461130,0.010157964461919,1002.1
2000,All Causes,All causes,AL,45062,4461130,0.010101028214825,1004.8
1999,All Causes,All causes,AL,44806,4461130,0.010043643650824,1009.3
2016,All Causes,All causes,AK,4494,721523,0.006228491676634,745.6
2015,All Causes,All causes,AK,4316,721523,0.005981791294248,747.4
2014,All Causes,All causes,AK,4128,721523,0.005721231339819,736.8
2013,All Causes,All causes,AK,3997,721523,0.005539670946041,724.4
2012,All Causes,All causes,AK,3912,721523,0.005421864583665,731.4
2011,All Causes,All causes,AK,3849,721523,0.005334549279787,747.8
2010,All Causes,All causes,AK,3728,721523,0.005166848458053,771.5
2009,All Causes,All causes,AK,3618,628933,0.005752600038478,763.8
2008,All Causes,All causes,AK,3494,628933,0.005555440722621,761.3
2007,All Causes,All causes,AK,3463,628933,0.005506150893656,780.6
2006,All Causes,All causes,AK,3354,628933,0.00533284149504,787.6
2005,All Causes,All causes,AK,3168,628933,0.005037102521254,762.3
2004,All Causes,All causes,AK,3051,628933,0.004851073166776,756.7
2003,All Causes,All causes,AK,3180,628933,0.005056182455047,843.5
2002,All Causes,All causes,AK,3030,628933,0.004817683282639,802.4
2001,All Causes,All causes,AK,2974,628933,0.004728643591607,831.3
2000,All Causes,All causes,AK,2914,628933,0.004633243922644,869.1
1999,All Causes,All causes,AK,2708,628933,0.004305705059203,838.9
2016,All Causes,All causes,AZ,56645,6412700,0.008833252764046,675.8
2015,All Causes,All causes,AZ,54299,6412700,0.008467416220937,671.8
2014,All Causes,All causes,AZ,51538,6412700,0.008036864347311,661.7
2013,All Causes,All causes,AZ,50534,6412700,0.007880300029629,674.2
2012,All Causes,All causes,AZ,49549,6412700,0.0077266985825,682.9
2011,All Causes,All causes,AZ,48381,6412700,0.007544560013723,688.9
2010,All Causes,All causes,AZ,46762,6412700,0.007292092254433,693.1
2009,All Causes,All causes,AZ,45816,5140683,0.008912434398309,693.8
2008,All Causes,All causes,AZ,45823,5140683,0.008913796085073,714.5
2007,All Causes,All causes,AZ,45554,5140683,0.008861468407992,731
